Coalition avenir Québec - L'équipe François Legault (C.A.Q.-É.F.L.) ;1509455;37,42;125;74
Parti libéral du Québec/Quebec Liberal Party (P.L.Q./Q.L.P.) ;1001037;24,82;125;31
Parti québécois (P.Q.) ;687995;17,06;125;10
Québec solidaire (Q.S.) ;649503;16,1;125;10
Parti vert du Québec/Green Party of Québec (P.V.Q./G.P.Q.) ;67870;1,68;97; 
Parti conservateur du Québec / Conservative Party of Québec (P.C.Q./C.P.Q.) ;59055;1,46;101; 
Nouveau Parti démocratique du Québec (N.P.D.Q.) ;22863;0,57;59; 
Citoyens au pouvoir du Québec (C.P.Q.) ;13768;0,34;56; 
Bloc pot (B.P.) ;4657;0,12;29; 
Parti nul (P.N.) ;3659;0,09;16; 
Parti marxiste-léniniste du Québec (P.M.L.Q.) ;1708;0,04;25; 
Parti libre (P.L.) ;1678;0,04;8; 
Équipe autonomiste (É.A.) ;1138;0,03;12; 
Parti 51 (P51) ;1117;0,03;5; 
Changement intégrité pour notre Québec (C.I.N.Q.) ;693;0,02;7; 
Alliance provinciale du Québec (A.P.Q.) ;521;0,01;2; 
Voie du peuple (V.P.) ;190;0;1; 
Parti culinaire du Québec (P.Cu.Q.) ;169;0;1; 
Indépendant (IND.);6462;0,16;21;
